"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "XML", "Visual Basic", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\UMinusNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\VariableDimNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\VariableLIstNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\VariableNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\WhileNode.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserConfig.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserRules\autoload.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserRules\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserRules\rules\BlockRule.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserRules\rules\CallRule.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserRules\rules\ClassRule.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\parserRules\rules\DimRule.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
